ID,Q19,Q19_ENG,Q19_CAT
485,"Es mas tiempo del le gustaria: Por las noches, no descansa","It's more time than they would like: In the nights, no sleep",Yes
486,"Poco, le parece bien: Dejan solo una hora - cambia no siempre (?)","Small, it seems okay: They leave only one hour",No
487,"Poco, le parece bien","Small, it seems okay",No
488,"Poco, le parece bien","Small, it seems okay",No
489,"Poco, le parece bien","Small, it seems okay",No
490,Es mas tiempo del le gustaria: podria (?) para otra cosas,It's more time than they would like: Could for other things,Yes
491,"Poco, le parece bien","Small, it seems okay",No
492,"Poco, le parece bien","Small, it seems okay",No
493,"Poco, le parece bien: otra personas se pasan en la madrugada","Small, it seems okay: Other people pass by in the early morning",No
494,"Poco, le parece bien: cuando no hay agua tienen que (?) todo el dia y noche","Small, it seems okay: When there is no water, they have to wait all day and night",No
495,"Poco, le parece bien: porque tienen cisterna. Sin eso, sena mas trabajo","Small, it seems okay: Because they have a cistern. Without that it would be more work",No
496,"Poco, le parece bien","Small, it seems okay",No
497,"Poco, le parece bien",Small it seems okay,No
